	day	rows	columns	value	user
641	Mon	cont	I	19.2196595048644	Sophie
642	Mon	a	I	22.7790954231492	Sophie
643	Mon	b	I	22.7933072930259	Sophie
644	Mon	c	I	22.7150014216731	Sophie
645	Mon	d	I	20.7667304667604	Sophie
646	Mon	e	I	20.219330555898	Sophie
647	Mon	f	I	16.3386256966497	Sophie
648	Mon	g	I	22.9750191590629	Sophie
649	Mon	cont	J	21.5840607458526	Sophie
650	Mon	a	J	22.1284819666766	Sophie
651	Mon	b	J	25.3904358351128	Sophie
652	Mon	c	J	23.6652848435481	Sophie
653	Mon	d	J	21.6044068302966	Sophie
654	Mon	e	J	20.6902261166262	Sophie
655	Mon	f	J	20.9101175228236	Sophie
656	Mon	g	J	20.0926606302194	Sophie
657	Mon	cont	K	21.8742959899683	Sophie
658	Mon	a	K	21.7148694848587	Sophie
659	Mon	b	K	21.1427338161946	Sophie
660	Mon	c	K	23.0639512610631	Sophie
661	Mon	d	K	23.3697690045653	Sophie
662	Mon	e	K	18.7481405728573	Sophie
663	Mon	f	K	20.0569891216357	Sophie
664	Mon	g	K	22.2693315306566	Sophie
665	Mon	cont	L	18.6372183168773	Sophie
666	Mon	a	L	22.5317283489838	Sophie
667	Mon	b	L	23.8904048363083	Sophie
668	Mon	c	L	21.3125460362641	Sophie
669	Mon	d	L	20.8537834293424	Sophie
670	Mon	e	L	19.9930730102368	Sophie
671	Mon	f	L	17.3497159397432	Sophie
672	Mon	g	L	18.3284496736333	Sophie
673	Fri	cont	A	19.1925384475372	Sophie
674	Fri	a	A	23.9007410488814	Sophie
675	Fri	b	A	21.7109845888585	Sophie
676	Fri	c	A	18.3445933868411	Sophie
677	Fri	d	A	21.2882701761369	Sophie
678	Fri	e	A	19.0525750706969	Sophie
679	Fri	f	A	19.1930961928501	Sophie
680	Fri	g	A	17.0202232943955	Sophie
681	Fri	cont	B	22.0587452170125	Sophie
682	Fri	a	B	22.0326809298181	Sophie
683	Fri	b	B	21.9936728387373	Sophie
684	Fri	c	B	21.1717810678257	Sophie
685	Fri	d	B	21.0598812327668	Sophie
686	Fri	e	B	21.5346811707387	Sophie
687	Fri	f	B	19.4791131962082	Sophie
688	Fri	g	B	21.3811490622084	Sophie
689	Fri	cont	C	19.5598014796986	Sophie
690	Fri	a	C	25.0345331388692	Sophie
691	Fri	b	C	22.5723943378404	Sophie
692	Fri	c	C	22.1330227808168	Sophie
693	Fri	d	C	20.4588009353284	Sophie
694	Fri	e	C	23.4252691996728	Sophie
695	Fri	f	C	19.7667175712508	Sophie
696	Fri	g	C	21.7576261647663	Sophie
697	Fri	cont	D	21.2400538856966	Sophie
698	Fri	a	D	20.9752052296277	Sophie
699	Fri	b	D	21.5706493030255	Sophie
700	Fri	c	D	23.3402951637861	Sophie
701	Fri	d	D	19.1412358090793	Sophie
702	Fri	e	D	22.1958659691124	Sophie
703	Fri	f	D	22.3451323569336	Sophie
704	Fri	g	D	21.5834528552611	Sophie
705	Fri	cont	E	19.5564661033446	Sophie
706	Fri	a	E	24.9969980730983	Sophie
707	Fri	b	E	23.0752757472406	Sophie
708	Fri	c	E	21.5869209236654	Sophie
709	Fri	d	E	20.7645213714276	Sophie
710	Fri	e	E	21.2341801996653	Sophie
711	Fri	f	E	21.6826517822245	Sophie
712	Fri	g	E	23.063563311655	Sophie
713	Fri	cont	F	21.1215464575676	Sophie
714	Fri	a	F	25.129843820759	Sophie
715	Fri	b	F	22.3945986817336	Sophie
716	Fri	c	F	21.3495152024742	Sophie
717	Fri	d	F	21.4654063895832	Sophie
718	Fri	e	F	18.8177918110227	Sophie
719	Fri	f	F	23.146607030428	Sophie
720	Fri	g	F	20.7970278386032	Sophie
721	Fri	cont	G	21.1343395983419	Sophie
722	Fri	a	G	25.1812933196695	Sophie
723	Fri	b	G	24.1743688917313	Sophie
724	Fri	c	G	20.9372638339122	Sophie
725	Fri	d	G	20.3286761557287	Sophie
726	Fri	e	G	17.8161798059839	Sophie
727	Fri	f	G	21.8202490946376	Sophie
728	Fri	g	G	20.3587604310991	Sophie
729	Fri	cont	H	18.8699426000457	Sophie
730	Fri	a	H	25.6140128463087	Sophie
731	Fri	b	H	22.7513470357969	Sophie
732	Fri	c	H	19.6971831823296	Sophie
733	Fri	d	H	19.092214682097	Sophie
734	Fri	e	H	21.1566084624961	Sophie
735	Fri	f	H	19.6799165648383	Sophie
736	Fri	g	H	20.0306134641481	Sophie
737	Fri	cont	I	21.458991984524	Sophie
738	Fri	a	I	24.4329085886392	Sophie
739	Fri	b	I	22.5140747720898	Sophie
740	Fri	c	I	22.8633156304532	Sophie
741	Fri	d	I	21.5157102277302	Sophie
742	Fri	e	I	20.1960957591363	Sophie
743	Fri	f	I	19.1367931572846	Sophie
744	Fri	g	I	20.978222741446	Sophie
745	Fri	cont	J	20.7073364991791	Sophie
746	Fri	a	J	21.2707420543171	Sophie
747	Fri	b	J	26.9607662706081	Sophie
748	Fri	c	J	21.0871352571393	Sophie
749	Fri	d	J	21.3468910150133	Sophie
750	Fri	e	J	20.7468228847943	Sophie
751	Fri	f	J	21.5958985453389	Sophie
752	Fri	g	J	20.4484162642633	Sophie
753	Fri	cont	K	21.1421980185665	Sophie
754	Fri	a	K	22.0139953344306	Sophie
755	Fri	b	K	22.5625484761931	Sophie
756	Fri	c	K	21.1290008472364	Sophie
757	Fri	d	K	21.2090711974694	Sophie
758	Fri	e	K	18.9541212691413	Sophie
759	Fri	f	K	19.7657101725322	Sophie
760	Fri	g	K	20.29497029585	Sophie
761	Fri	cont	L	21.7666835158345	Sophie
762	Fri	a	L	22.9096616151359	Sophie
763	Fri	b	L	23.9917626945415	Sophie
764	Fri	c	L	22.3882843781943	Sophie
765	Fri	d	L	21.2884391497629	Sophie
766	Fri	e	L	19.6443473611124	Sophie
767	Fri	f	L	18.0960708919443	Sophie
768	Fri	g	L	20.9995832215522	Sophie
